Clave,Especialidad,División,Enero,Febrero,Marzo ,Abril,Mayo ,Junio,Julio,Agosto,Sepetiembre,Octubre,Noviembre,Diciembre,Año
1100,Angiología y Cirugía Vascular,Cirugía Pediátrica,0,0,0,,,,0,,,0,,,2024
1500,Cirugía Cardiotorácica,Cirugía Pediátrica,0,0,0,0,0,0,2,4,2,0,4,2,2024
2100,Ginecología,Ginecología,178,206,217,222,211,186,151,154,136,138,129,122,2024
2101,Biología de la Reproducción Humana,Ginecología,0,0,0,0,0,0,0,0,0,0,0,0,2024
2103,Urología Ginecológica,Ginecología,0,0,0,0,0,0,6,9,6,7,3,6,2024
2400,Obstetricia,Obstetricia,784,734,674,766,761,754,773,848,847,818,824,791,2024
2401,Medicina Materno Fetal,Obstetricia,0,0,0,0,0,13,15,8,11,15,17,18,2024
3000,Oftalmología,Cirugía Pediátrica,1,1,1,0,1,0,2,2,3,1,1,2,2024
3100,Otorrinolaringología,Cirugía Pediátrica,4,2,0,3,2,1,0,0,1,0,0,0,2024
3200,Pediatría,Pediatría,55,58,71,80,61,50,61,55,66,72,90,66,2024
3201,Cardiología Pediátrica,Pediatría,12,13,14,12,8,12,13,4,17,20,5,10,2024
3202,Endocrinología Pediátrica,Pediatría,2,0,0,0,2,1,0,2,0,2,1,3,2024
3203,Gastroenterología Pediátrica,Pediatría,7,17,17,13,15,16,4,8,12,10,13,15,2024
3204,Hematología Pediátrica,Pediatría,48,43,68,57,51,59,43,35,53,32,39,52,2024
3205,Infectología Pediátrica,Pediatría,3,2,0,0,0,4,0,2,0,0,0,1,2024
3206,Neumología Pediátrica,Pediatría,32,22,14,16,22,13,9,11,6,14,10,33,2024
3207,Neurología Pediátrica,Pediatría,14,13,14,16,24,19,14,13,20,12,13,13,2024
3208,Oncología Pediátrica,Pediatría,1,0,0,0,2,14,14,25,21,14,17,23,2024
3500,Psiquiatría,Pediatría,0,0,0,0,0,0,0,0,0,0,0,0,2024
3800,Traumatología y ortopedia,Cirugía Pediátrica,21,16,21,10,16,35,37,28,25,22,24,18,2024
4100,Urología,Cirugía Pediátrica,2,0,2,4,2,3,1,5,5,0,0,2,2024
4400,Cirugía Pediátrica,Cirugía Pediátrica,41,47,35,59,49,47,50,53,44,51,57,55,2024
4401,Nefrología Pediátrica,Pediatría,35,33,42,26,15,30,29,17,28,26,25,24,2024
4402,Neurocirugía Pediátrica,Cirugía Pediátrica,10,8,8,3,1,5,2,8,5,6,16,8,2024
4600,Cirugía Plástica y Reconstructiva,Cirugía Pediátrica,2,11,5,3,6,12,6,2,8,4,1,3,2024
5103,Ginecología Oncológica,Ginecología,0,0,0,0,5,58,44,58,46,58,40,48,2024
6000,Alojamiento Conjunto,Pediatría,389,367,352,402,393,396,393,437,442,425,429,418,2024
6100,Cunero Patológico,Neonatología,131,103,106,133,104,123,127,142,138,114,112,126,2024
